# page	name	x0	y0	x1	y1
1	focus	830	900	2078	1168
1	tip1	505	1185	800	1528
1	tip2	505	1556	800	1930
1	lb-instr	830	1182	1520	1248
1	lb-sub	895	1256	2070	1374
1	lb-box	895	1378	2070	1735
1	tt-instr	830	1758	1835	1822
1	tt-a	895	1830	2078	1950
1	tt-q1	898	1958	1600	2188
1	tt-q2	898	2198	1495	2500
1	tt-q3	1500	2198	2078	2500
1	tt-sits	938	2508	2078	2730
2	tt-b	855	786	1500	870
2	tp-instr	855	1058	2078	1206
2	tp-q1	885	1214	1495	1516
2	tp-q2	885	1526	1495	1756
2	tp-q3	885	1766	1495	1994
2	tp-q4	1500	1218	2078	1446
2	tp-q5	1500	1456	2078	1722
2	tp-q6	1500	1732	2078	1996
2	tip3	495	785	800	1200
2	checklist	495	1212	805	1655
2	une-box	490	1662	805	2215
2	une-line	855	2145	1325	2188
2	mt-intro	815	2334	1870	2378
2	mt-clock	812	2405	2075	2570
2	mt-q1	885	2578	1495	2836
2	mt-q2	1500	2576	2078	2828
3	mt-q3	885	790	1495	1090
3	mt-q4	885	1105	1495	1405
3	mt-q5	885	1415	1495	1685
3	mt-q6	885	1690	1495	1952
3	mt-q7	885	1966	1495	2270
3	mt-q8	1500	790	2078	1130
3	mt-q9	1500	1140	2078	1476
3	mt-q10	1500	1488	2078	1900
3	mt-q11	1500	1910	2078	2250
3	mt-q12	1500	2252	2078	2552
4	lbd-head	790	784	2070	862
4	lbd-instr	890	874	2030	952
4	lbd-list	890	966	2060	1224
4	lbd-b	890	1236	2055	1330
4	lbd-notes	890	1336	2075	1894
4	culture	886	1912	1892	2325
4	fs-head	790	2380	2070	2456
4	fs-text	886	2460	2026	2540
4	fs-note	888	2552	1362	2598
